Time,Background,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10
1,2882.692,2911.657,2922.942,2904.336,2909.644,2975.887,2896.228,2912.048,3020.179,2915.241,2907.383
2,2883.589,2913.269,2923.333,2902.839,2909.139,2980.74,2892.382,2910.597,3016.083,2914.105,2906.083
3,2885.452,2913.694,2923.231,2905.241,2912.591,2980.491,2891.404,2913.436,3017.481,2913.75,2907.896
4,2882.294,2914.889,2921.59,2898.219,2909.966,2970.616,2890.419,2910.564,3013.429,2915.21,2905.492
5,2882.041,2918.731,2926.789,2906.394,2916.346,2975.503,2896.279,2917.492,3024.711,2914.57,2907.517
6,2879.603,2915.042,2927.295,2903.613,2907.668,2984.429,2892.412,2906.234,3018.711,2912.969,2902.521
7,2879.041,2911.69,2923.397,2901.044,2907.466,2999.847,2889.463,2911.258,3021.173,2913.632,2906.7
8,2888.671,2914.213,2922.071,2905.365,2907.673,2994.887,2896.485,2915.613,3016.321,2916.86,2911.008
9,2883.027,2913.917,2924.404,2902.949,2908.264,2998.096,2893.353,2912.137,3016.039,2914.32,2911.721
10,2882.589,2917.171,2927.045,2902.693,2909.211,2991.904,2898.073,2919.298,3030.051,2920.592,2908.192
11,2888.233,2917.065,2926.327,2904.015,2903.356,2992.65,2893.243,2911.669,3015.897,2913.693,2908.75
12,2879.26,2915.255,2925.115,2900.401,2906.952,3001.153,2891.757,2913.774,3023.859,2915.39,2910.533
13,2880.836,2916.625,2926.032,2906.146,2909.894,3000.831,2894.125,2913.444,3020.923,2917.812,2907.663
14,2884.938,2916.231,2924.205,2905.65,2909.461,3004.955,2895.265,2909.04,3028.5,2919.82,2911.646
15,2886.657,2918.347,2929.577,2908.803,2910.875,2991.746,2894.816,2915.847,3036.276,2919.877,2914.017
16,2882.76,2918.31,2927.609,2904.438,2909.269,2998.667,2896.052,2908.064,3025.256,2918.504,2913.304
17,2881.61,2913.421,2924.244,2904.35,2907.101,3002.35,2895.581,2911.895,3020.09,2918.048,2907.021
18,2881.247,2915.319,2927.667,2903.555,2907.736,3008.898,2896.184,2915.968,3023.5,2919.649,2910.883
19,2882.075,2914.144,2924.673,2901.109,2904.505,2998.622,2891.721,2911.371,3018.699,2913.399,2907.938
20,2881.226,2912.556,2922.179,2896.693,2905.558,2992.362,2893.537,2911.798,3014.833,2913.044,2908.308
21,2880.993,2917.176,2922.558,2903.226,2912.341,3005.932,2893.618,2911.427,3007.333,2919.926,2909.129
22,2883.507,2912.481,2924.769,2903.796,2911.389,3002.203,2895.809,2913.952,3009.449,2920.096,2910.1
23,2887.425,2910.787,2921.571,2903.635,2910.264,3002.362,2896.743,2914.847,3007.846,2917.013,2910.121
24,2881.007,2915.606,2927.481,2907.759,2905.096,2987.113,2896.632,2914.064,3016.609,2915.877,2907.583
25,2885.144,2916.685,2925.103,2907.431,2908.933,2985.362,2894.713,2915.048,3024.974,2914.798,2910.079
26,2883.822,2912.444,2923.006,2900.65,2914.183,2984.09,2896.478,2912.694,3023.071,2918.25,2910.579
27,2884.664,2913.306,2922.417,2899.934,2914.159,2983.011,2897.985,2912.234,3018.429,2916.562,2912.229
28,2885.363,2914.866,2929.289,2905.898,2917.207,2984.328,2893.066,2919.831,3026.308,2915.776,2912.775
29,2887.199,2915.852,2925.429,2904.788,2912.918,2983.023,2894.581,2915.169,3034.167,2921.807,2908.842
30,2889.959,2922.292,2930.045,2909.774,2915.495,2980.746,2899.64,2913.806,3029.333,2918.268,2914.3
31,2887.699,2916.903,2927.821,2912.467,2909.188,2973.266,2896.346,2915.04,3027.827,2921.469,2909.879
32,2892.103,2918.685,2934.359,2906.044,2912.399,2978.989,2905.596,2919.653,3036.135,2921.158,2915.296
33,2880.637,2914.343,2928.801,2904.095,2910.808,2976.458,2896.316,2921.508,3026.865,2921.904,2913.012
34,2885.288,2918.81,2926.231,2907.387,2910.726,2975.548,2895.059,2920.202,3030.423,2917.074,2910.1
35,2883.63,2921.384,2932.628,2910.321,2913.692,2987.994,2899.331,2920,3034.724,2922.658,2913.271
36,2884.822,2915.333,2924.679,2900.672,2914.385,2997,2898.434,2916.492,3034.205,2919.816,2916.671
37,2888.103,2916.639,2927.724,2908.664,2915.014,3001.102,2898.287,2916.25,3024.269,2919.562,2912.258
38,2886.767,2917.338,2927.878,2904.182,2914.51,3001.396,2899.529,2917.379,3032.224,2924.333,2912.446
39,2887.431,2917.917,2927.026,2910.438,2912.514,3009.316,2897.022,2916.258,3022.519,2925.724,2913.371
40,2882.767,2917.634,2930.673,2902.847,2918.245,2998.107,2900.353,2918,3029.032,2919.54,2912.829
41,2890.651,2918.25,2928.692,2909.38,2919.514,3004.254,2900.36,2915.46,3023.891,2923.333,2918.012
42,2886.233,2917.366,2930.532,2908.591,2914.192,2995.989,2898.456,2915.46,3033.449,2920.509,2918.033
43,2883.562,2917.972,2930.231,2908.241,2917.029,2996.085,2900.022,2914.097,3027.961,2921.04,2913.462
44,2888.308,2919.657,2927.442,2906.701,2914.082,3004.48,2899.213,2917.814,3033.66,2921.434,2917.863
45,2882.171,2913.389,2925.609,2901.007,2903.312,2992.079,2896.86,2912.718,3032.186,2921.482,2915.125
